Keyword,30-Day Search Volume (Exact),30 Day Trend,90 Day Trend,30-Day Search Volume (Broad),Category,PPC Bid (Exact),PPC Bid (Broad),Ease to Rank,Relevancy Score
shampoo for locs,2335,7%,2%,8106,Beauty & Personal Care,$1.70,$1.16,Easy,40
hempz shampoo,2308,1%,-15%,8342,Beauty & Personal Care,$1.21,$1.26,Easy,20
sampoo,2305,7%,-10%,2766,Beauty & Personal Care,$1.05,$1.05,Easy,37
shampoo gallon,2291,19%,1%,12741,Beauty & Personal Care,$1.09,$1.52,Easy,202
rose shampoo,2249,14%,10%,20402,Beauty & Personal Care,$0.92,$1.25,Easy,28
shampure shampoo aveda,2222,62%,34%,2666,Beauty & Personal Care,$0.69,$0.77,Easy,18
shapoo,2195,-10%,-1%,3691,Beauty & Personal Care,$0.93,$0.97,Easy,38
whole blends shampoo,2191,-4%,-2%,9859,Beauty & Personal Care,$0.82,$1.20,Moderate,18
shampoo moisturizing,2181,-12%,1%,8381,Beauty & Personal Care,$5.13,$4.95,Easy,37
365 shampoo,2178,-6%,-3%,5505,Beauty & Personal Care,$0.68,$1.05,Easy,38
odele dry shampoo,2164,-2%,2%,2667,Beauty & Personal Care,---,---,Easy,23
ginger lily farms body wash,2133,-1%,-3%,2560,Beauty & Personal Care,---,---,Easy,42
attitude super leaves shampoo,2132,13%,12%,2489,Beauty & Personal Care,$1.13,$2.53,Easy,21
shampoo with pump,2102,-5%,-3%,36818,Beauty & Personal Care,$2.56,$1.33,Moderate,19
alba botanica shampoo,2052,25%,18%,2462,Beauty & Personal Care,$6.91,$1.35,Easy,20
shampoo sulfate free paraben free,2048,6%,-11%,2498,Beauty & Personal Care,---,---,Easy,18
kristin ess deep clean clarifying shampoo,1985,3%,60%,2382,Beauty & Personal Care,---,---,Easy,21
gallon dog shampoo,1980,-1%,-1%,2996,Pet Supplies,$6.12,$1.86,Easy,42
beach babe dry shampoo,1968,-4%,0%,2330,Beauty & Personal Care,$1.46,$1.05,Easy,21
puracy shampoo,1953,-9%,-3%,5364,Beauty & Personal Care,$7.28,$1.58,Easy,19
